artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,genre
Coldplay,Viva La Vida,0.0941,0.485,242373,0.619,3.31e-06,5,0.109,-7.115,0.0289,138.017,4,0.424,alternative
Trails and Ways,Animal (Miike Snow Cover),0.253,0.686,197624,0.606,0,11,0.159,-7.897,0.0539,112.107,4,0.418,alternative
Mumford & Sons,Little Lion Man,0.0275,0.517,245173,0.492,3.2e-05,5,0.0873,-8.051,0.0272,138.579,4,0.446,alternative
Linkin Park,Numb,0.00366,0.493,186240,0.856,0,6,0.628,-4.134,0.0384,110.097,4,0.218,alternative
The Naked And Famous,Punching In A Dream,0.00276,0.476,238133,0.894,0.000847,6,0.158,-3.636,0.0469,115.053,4,0.164,alternative
Oasis,Wonderwall,0.000807,0.409,258613,0.892,0,2,0.207,-4.373,0.0336,174.426,4,0.651,alternative
The Verve,Bitter Sweet Symphony - 2004 Digital Remaster,0.0405,0.354,359547,0.908,0,9,0.181,-5.997,0.0447,171.135,4,0.518,alternative
Woods,Give Your Light Off,0.888,0.312,259048,0.442,0.977,0,0.218,-11.689,0.033,116.869,4,0.285,alternative
Stone Temple Pilots,Creep,0.00428,0.66,332627,0.567,0.0137,4,0.11,-6.318,0.0289,107.754,4,0.175,alternative
Tame Impala,Elephant,0.557,0.597,211227,0.575,0.342,2,0.254,-6.665,0.04,122.959,4,0.606,alternative
Kings of Leon,Supersoaker,0.00319,0.436,230227,0.871,0.000473,9,0.114,-4.446,0.0384,138.743,4,0.711,alternative
Linkin Park,One Step Closer,0.0014,0.492,157333,0.969,1.32e-06,9,0.0787,-4.419,0.0491,95.136,4,0.534,alternative
Foals,My Number,0.0319,0.639,240533,0.744,0.000458,6,0.466,-8.377,0.0368,128.047,4,0.809,alternative
Incubus,Drive,0.0562,0.645,232453,0.792,0.0121,4,0.119,-7.34,0.036,90.565,4,0.655,alternative
JEFF The Brotherhood,Stay Up Late,0.00198,0.379,183960,0.967,0.0704,9,0.0711,-4.429,0.0373,170.056,4,0.647,alternative
The Killers,Mr. Brightside,0.00108,0.33,222587,0.936,0,1,0.0926,-3.66,0.0917,148.112,4,0.218,alternative
Mumford & Sons,I Will Wait,0.0155,0.477,276720,0.776,0.00314,1,0.203,-5.056,0.0349,131.004,4,0.424,alternative
Imagine Dragons,Radioactive,0.126,0.478,186813,0.799,0.000106,9,0.76,-3.614,0.0638,136.268,4,0.201,alternative
Matt and Kim,Let's Go,0.391,0.656,210747,0.677,1.92e-06,2,0.118,-6.929,0.0285,112.01,4,0.56,alternative
Soundgarden,Black Hole Sun,0.000336,0.356,318040,0.717,0.00012,6,0.0727,-8.489,0.0367,105.78,4,0.194,alternative
Bombay Bicycle Club,Shuffle,0.297,0.641,235293,0.937,0.00862,7,0.111,-4.808,0.0298,109.978,4,0.436,alternative
Nirvana,Smells Like Teen Spirit,1.62e-05,0.48,300827,0.875,0.000751,1,0.103,-5.898,0.0429,116.754,4,0.81,alternative
Twin Atlantic,Free,9.51e-05,0.201,206835,0.932,0.125,2,0.372,-3.272,0.152,81.208,4,0.208,alternative
Green Day,When I Come Around,0.0175,0.531,178000,0.909,0,11,0.231,-4.236,0.034,97.546,4,0.806,alternative
Linkin Park,Breaking The Habit,0.12,0.58,196333,0.851,0,4,0.0959,-4.392,0.0313,100.012,4,0.622,alternative
Two Door Cinema Club,What You Know,0.000665,0.55,189693,0.753,7.74e-06,6,0.0921,-4.003,0.0407,139.048,4,0.839,alternative
The White Stripes,Fell In Love With A Girl,0.676,0.235,110093,0.977,0.000249,0,0.8,-1.606,0.141,91.929,4,0.397,alternative
Vance Joy,Riptide,0.431,0.484,204280,0.731,0,1,0.151,-6.694,0.0379,101.654,4,0.5,alternative
Red Hot Chili Peppers,Snow (Hey Oh),0.116,0.427,334667,0.9,1.75e-05,11,0.119,-3.674,0.0499,104.655,4,0.591,alternative
Gotye,Somebody That I Used To Know,0.565,0.857,244973,0.517,0.000195,0,0.102,-6.972,0.0384,129.063,4,0.75,alternative
Capital Cities,Kangaroo Court,0.00715,0.76,223187,0.579,0.000679,5,0.0304,-5.079,0.0388,99.979,4,0.975,alternative
The White Stripes,Seven Nation Army,0.00666,0.745,231920,0.466,0.35,4,0.272,-7.62,0.0864,123.889,4,0.314,alternative
WALK THE MOON,Tightrope,8.39e-05,0.467,209187,0.794,0.00204,1,0.103,-6.174,0.0349,162.435,4,0.577,alternative
Foster The People,Call It What You Want,0.0483,0.641,238787,0.967,0.000276,5,0.442,-4.289,0.0601,113.017,4,0.734,alternative
The Smashing Pumpkins,Bullet With Butterfly Wings,5.01e-05,0.389,257707,0.705,0.86,10,0.09,-10.331,0.0553,122.154,4,0.565,alternative
Counting Crows,Mr. Jones,0.193,0.571,272733,0.836,4.09e-06,0,0.182,-5.556,0.0371,141.608,4,0.72,alternative
Red Hot Chili Peppers,Dani California,0.0193,0.556,282160,0.913,8.59e-06,0,0.346,-2.36,0.0437,96.184,4,0.733,alternative
Staind,So Far Away,0.012,0.407,243573,0.896,0,6,0.196,-2.935,0.063,138.697,3,0.155,alternative
The Black Keys,Tighten Up,0.00121,0.504,211080,0.705,4.12e-06,6,0.453,-6.179,0.0665,108.965,4,0.581,alternative
Coldplay,Yellow,0.00239,0.429,266773,0.661,0.00013,11,0.234,-7.227,0.0281,173.365,4,0.279,alternative
