artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
fun.,Some Nights,0.0178,0.672,277040,0.738,6.75e-05,0,0.0927,-7.045,1,0.0506,107.938,4,0.401,alternative
Ra Ra Riot,Boy,0.0364,0.579,190907,0.861,0.00796,2,0.403,-5.542,1,0.0467,161.959,4,0.793,alternative
Nirvana,Lithium,0.00145,0.687,257133,0.685,0,7,0.0657,-5.854,1,0.0367,123.147,4,0.371,alternative
Linkin Park,Faint,0.117,0.553,164040,0.981,0,4,0.0631,-3.634,1,0.131,135.085,4,0.577,alternative
Red Hot Chili Peppers,Can't Stop,0.0201,0.62,269000,0.934,0,4,0.19,-3.427,0,0.0411,91.234,4,0.882,alternative
The Shins,Simple Song,0.0133,0.546,255400,0.878,0,7,0.135,-5.137,1,0.0525,119.945,4,0.358,alternative
Grimes,Genesis,0.0764,0.611,255320,0.677,0.0698,10,0.241,-6.745,0,0.034,166.04,4,0.233,alternative
Coldplay,Clocks,0.599,0.577,307880,0.749,0.0112,5,0.183,-7.215,0,0.0279,130.969,4,0.271,alternative
Foster The People,Houdini,0.00762,0.632,202467,0.908,0.000172,8,0.167,-3.511,1,0.0458,110.024,4,0.749,alternative
Lorde,Team,0.151,0.696,193059,0.59,0,6,0.247,-7.428,1,0.0904,99.984,4,0.452,alternative
Plain White T's,Hey There Delilah,0.865,0.51,232853,0.376,0.000121,2,0.113,-10.995,1,0.0307,103.851,4,0.314,alternative
Lana Del Rey,Video Games,0.841,0.329,281960,0.276,1.32e-06,6,0.0833,-9.584,0,0.0312,132.206,4,0.164,alternative
R.E.M.,Losing My Religion,0.0767,0.672,267733,0.841,0,9,0.135,-5.992,0,0.0285,125.437,4,0.822,alternative
MGMT,Electric Feel,0.0714,0.763,229640,0.807,0.28,1,0.348,-3.714,1,0.035,103.038,3,0.544,alternative
Spin Doctors,Two Princes,0.00162,0.543,256733,0.912,2.1e-06,7,0.0565,-10.71,1,0.0601,103.731,4,0.83,alternative
Lit,My Own Worst Enemy,0.00129,0.494,169027,0.946,0,4,0.398,-2.757,1,0.0637,103.408,4,0.713,alternative
Pearl Jam,Better Man - Remastered,0.165,0.445,268587,0.671,1.56e-05,2,0.0791,-7.937,1,0.0387,125.712,4,0.281,alternative
The Temper Trap,Sweet Disposition,0.139,0.538,232240,0.84,0.0772,2,0.116,-5.804,1,0.0415,129.085,4,0.319,alternative
Coldplay,Charlie Brown,0.0212,0.43,285160,0.738,0.00165,10,0.33,-7.076,1,0.0375,137.986,4,0.112,alternative
Imagine Dragons,It's Time,0.0178,0.656,237987,0.879,0,2,0.109,-4.614,1,0.0362,104.997,4,0.902,alternative
Of Monsters and Men,Mountain Sound,0.0513,0.395,211453,0.896,0.00396,1,0.14,-4.262,0,0.0351,101.867,4,0.35,alternative
Third Eye Blind,Semi-Charmed Life,0.00832,0.64,268360,0.864,0,7,0.123,-6.576,1,0.0315,102.026,4,0.735,alternative
Florence + The Machine,Dog Days Are Over,0.059,0.504,251840,0.812,0.000526,7,0.119,-5.316,1,0.0911,150.11,4,0.331,alternative
The Killers,When You Were Young,0.000202,0.463,220427,0.983,0.129,8,0.303,-3.254,0,0.138,130.394,4,0.362,alternative
Radiohead,Creep,0.00563,0.532,235667,0.344,0.000473,7,0.115,-13.057,1,0.035,91.834,4,0.119,alternative
Vampire Weekend,Oxford Comma,0.114,0.694,195733,0.711,0.00124,0,0.0433,-4.237,1,0.0517,119.516,4,0.974,alternative
Arctic Monkeys,Do I Wanna Know?,0.186,0.548,272394,0.532,0.000263,5,0.217,-7.596,1,0.0323,85.03,4,0.428,alternative
Cake,The Distance,0.00796,0.463,179653,0.749,0.00219,11,0.0558,-8.118,0,0.0891,183.048,4,0.891,alternative
Three Days Grace,I Hate Everything About You,0.00461,0.498,231480,0.83,0,6,0.139,-5.157,0,0.0421,89.342,4,0.423,alternative
The Kooks,Naive,0.0703,0.543,203507,0.819,0,11,0.149,-6.159,1,0.0661,102.687,4,0.717,alternative
Neon Trees,Animal,0.000392,0.486,212293,0.831,0,5,0.363,-5.5,1,0.0506,148.026,4,0.793,alternative
The Heavy,Short Change Hero,0.29,0.68,322267,0.64,0.00593,1,0.124,-6.691,0,0.0336,105.981,4,0.748,alternative
Bombay Bicycle Club,Shuffle,0.297,0.641,235293,0.937,0.00862,7,0.111,-4.808,1,0.0298,109.978,4,0.436,alternative
Atlas Genius,Trojans,0.0113,0.721,217387,0.822,7.01e-05,7,0.0898,-4.843,1,0.0391,140.002,4,0.536,alternative
My Chemical Romance,Teenagers,0.0506,0.463,161920,0.857,0,4,0.184,-3.063,1,0.0632,111.647,4,0.839,alternative
Neon Trees,Everybody Talks,0.00895,0.476,179387,0.918,0,8,0.292,-3.988,1,0.0616,154.897,4,0.726,alternative
The All-American Rejects,It Ends Tonight,0.00275,0.335,244827,0.676,0,0,0.141,-4.68,1,0.0301,175.845,4,0.325,alternative
AFI,Miss Murder,0.000213,0.309,206587,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.73,alternative
Blind Melon,No Rain - 2002 - Remastered,0.644,0.383,217800,0.599,3.61e-05,9,0.311,-5.432,1,0.0304,148.018,4,0.552,alternative
Staind,So Far Away,0.012,0.407,243573,0.896,0,6,0.196,-2.935,1,0.063,138.697,3,0.155,alternative
Mumford & Sons,Babel,0.0246,0.424,207934,0.839,0.000646,2,0.0828,-5.848,1,0.0558,80.937,4,0.659,alternative
Passion Pit,Take a Walk,0.0338,0.566,264493,0.755,0,11,0.315,-5.526,1,0.0368,101.006,4,0.427,alternative
fun.,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,0.02,0.378,250627,0.638,7.66e-05,10,0.0849,-5.576,1,0.075,184.086,4,0.762,alternative
The Offspring,Pretty Fly (For a White Guy),0.0962,0.72,188107,0.898,0,11,0.0675,-3.701,0,0.0997,143.431,4,0.964,alternative
MGMT,Kids,0.00076,0.451,302840,0.931,0.0049,9,0.361,-3.871,1,0.0719,122.961,4,0.182,alternative
Arctic Monkeys,When The Sun Goes Down,0.0363,0.35,200013,0.874,0,11,0.108,-4.755,0,0.186,169.512,4,0.419,alternative
alt-J,Tessellate,0.364,0.702,181400,0.607,0.0263,2,0.123,-6.509,1,0.0405,116.961,4,0.436,alternative
The Temper Trap,Fader,8.73e-05,0.541,183907,0.75,0.615,11,0.129,-6.799,0,0.0346,134.972,4,0.168,alternative
blink-182,What's My Age Again?,0.0133,0.398,148573,0.954,0.000218,6,0.0891,-7.373,1,0.0715,157.766,4,0.434,alternative
The Strokes,Reptilia,0.000563,0.486,219754,0.666,0.789,9,0.101,-5.084,1,0.033,157.992,4,0.745,alternative
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),0.0313,0.561,186827,0.927,2.34e-05,9,0.529,-4.374,0,0.0619,152.011,4,0.562,alternative
No Doubt,Don't Speak,0.24,0.522,263000,0.707,2.04e-05,5,0.156,-7.113,0,0.0354,76.05,4,0.576,alternative
Imagine Dragons,Tiptoe,0.00177,0.529,193000,0.798,2.6e-05,1,0.0871,-5.787,1,0.0316,120.01,4,0.322,alternative
Lana Del Rey,Young And Beautiful,0.271,0.307,236053,0.425,3.09e-05,11,0.11,-8.924,0,0.0372,108.693,4,0.136,alternative
Two Door Cinema Club,What You Know,0.000665,0.55,189693,0.753,7.74e-06,6,0.0921,-4.003,0,0.0407,139.048,4,0.839,alternative
Linkin Park,In The End,0.0113,0.553,219000,0.9,0,3,0.322,-4.556,0,0.0584,105.213,4,0.397,alternative
Radiohead,Karma Police,0.0874,0.41,261640,0.53,0.000223,7,0.137,-8.685,1,0.0271,74.923,4,0.335,alternative
Lorde,Tennis Court,0.0175,0.764,198907,0.547,0.000161,0,0.23,-8.6,1,0.0576,89.993,4,0.404,alternative
The Fray,How to Save a Life,0.269,0.64,262533,0.743,0,10,0.101,-4.08,1,0.0379,122.035,4,0.356,alternative
Arctic Monkeys,Arabella,0.0202,0.579,207357,0.558,1.26e-06,2,0.212,-6.986,1,0.0895,179.949,4,0.494,alternative
OneRepublic,Secrets,0.098,0.515,224693,0.767,0,2,0.121,-6.199,1,0.0352,148.024,4,0.393,alternative
